EXECUTION PLAN,EXECUTION PLAN ID,TASK NAME,TASK NODE,RUN AS
PROD - ALL ORDERS AT,1685,PROD_APIToHDFS_Order_MultiSite_Return_Additional_storeall_Avro_get_xml_at,2486,Dependent
PROD - ALL ORDERS AT,1685,PROD_XMLToIMPALA_Realtime_at,2624,Dependent
